review_task,category,platform,skill,skill_path,owasp_refs
api-design/breaking-api-change,api-design,all,api-design,skills/concerns/api-design.md,
api-design/inconsistent-response-shape,api-design,"web,api,microservices",api-design,skills/concerns/api-design.md,
api-design/input-validation,api-design,"web,api,mobile",api-design,skills/concerns/api-design.md,
api-design/microservices/api-contract,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/microservices/coupling,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/microservices/error-propagation,api-design,microservices,api-design,skills/concerns/api-design.md,
api-design/missing-pagination,api-design,"web,api,microservices",api-design,skills/concerns/api-design.md,
api-design/mobile/api-versioning,api-design,mobile,api-design,skills/concerns/api-design.md,
api-design/mobile/excessive-data-fetch,api-design,mobile,api-design,skills/concerns/api-design.md,
api-design/mobile/offline-sync,api-design,mobile,api-design,skills/concerns/api-design.md,
code-quality/android/accessibility,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/android/deprecated-api,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/dead-code,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/dry-violations,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/ios/accessibility,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/ios/deprecated-api,code-quality,mobile,code-quality,skills/concerns/code-quality.md,
code-quality/microservices/api-documentation,code-quality,microservices,code-quality,skills/concerns/code-quality.md,
code-quality/microservices/naming-conventions,code-quality,microservices,code-quality,skills/concerns/code-quality.md,
code-quality/missing-documentation,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/naming-readability,code-quality,all,code-quality,skills/concerns/code-quality.md,
code-quality/web/accessibility,code-quality,web,code-quality,skills/concerns/code-quality.md,
concurrency/android/coroutine-misuse,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/android/handler-looper,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/android/main-thread-blocking,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/async-misuse,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/deadlock,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/ios/actor-isolation,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/ios/gcd-misuse,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/ios/main-thread-blocking,concurrency,mobile,concurrency,skills/concerns/concurrency.md,
concurrency/livelock,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/distributed-lock,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/event-ordering,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/microservices/thundering-herd,concurrency,microservices,concurrency,skills/concerns/concurrency.md,
concurrency/race-condition,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/thread-unsafe-collection,concurrency,all,concurrency,skills/concerns/concurrency.md,
concurrency/web/event-loop-blocking,concurrency,web,concurrency,skills/concerns/concurrency.md,
concurrency/web/worker-misuse,concurrency,web,concurrency,skills/concerns/concurrency.md,
correctness/android/config-change-crash,correctness,mobile,correctness,skills/concerns/correctness.md,
